0,1,0.86747,(0) 0 (0f0)
0,3,0.826144,(0) 0 (0f2)
0.01,28,0.823007,(0) 0 (0f2) 1 (1f0)
0.01,30,0.749081,(0) 1 (0f0) 1 (1f0)
0.01,109,0.617555,(0) 1 (0f0) 1 (1f0) 1 (2f0)
0.02,178,0.562358,(0) 1 (0f0) 1 (1f0) 1 (2f0) 1 (3f0)
0.03,319,0.552462,(0) 0 (0f0) 1 (1f0) 1 (1f0) 1 (0f0) 1 (0f0)
0.06,650,0.54059,(0) 0 (0f0) 1 (1f0) 1 (2f0) 1 (3f0) 0 (4f0)
0.1,1039,0.539007,(0) 0 (0f0) 1 (1f0) 1 (2f0) 0 (3f0) 1 (4f0) 1 (4f0) 1 (3f0)
0.14,1653,0.523776,(0) 0 (0f0) 1 (1f0) 1 (2f0) 1 (1f0) 1 (0f0) 1 (0f0)
0.6,6833,0.514583,(0) 0 (0f0) 1 (1f0) 0 (2f0) 1 (3f0) 1 (4f0) 1 (2f0) 1 (1f1)
