0,1,0.86747,(0) 0 (0f0)
0,3,0.826144,(0) 0 (0f2)
0,28,0.823007,(0) 0 (0f2) 1 (1f0)
0,30,0.749081,(0) 1 (0f0) 1 (1f0)
0.01,96,0.617555,(0) 1 (0f0) 1 (1f0) 1 (2f0)
0.01,160,0.562358,(0) 1 (0f0) 1 (1f0) 1 (2f0) 1 (3f0)
0.03,292,0.552462,(0) 0 (0f0) 1 (1f0) 1 (1f0) 1 (0f0) 1 (0f0)
0.06,582,0.54059,(0) 0 (0f0) 1 (1f0) 1 (2f0) 1 (3f0) 0 (4f0)
0.08,920,0.539007,(0) 0 (0f0) 1 (1f0) 1 (2f0) 0 (3f0) 1 (4f0) 1 (4f0) 1 (3f0)
0.13,1437,0.523776,(0) 0 (0f0) 1 (1f0) 1 (2f0) 1 (1f0) 1 (0f0) 1 (0f0)
0.59,5826,0.514583,(0) 0 (0f0) 1 (1f0) 0 (2f0) 1 (3f0) 1 (4f0) 1 (2f0) 1 (1f1)
